hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
hplip 1:3.22.6-1
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.0-4
hwdata 0.361-1
hwinfo 21.82-1
hwloc 2.8.0-1
hyphen 2.8.8-4
i2c-tools 4.3-3
i3-gaps 4.20.1-2
iana-etc 20220603-1
ibus 1.5.26-2
icon-naming-utils 0.8.90-5
icu 71.1-1
ijs 0.35-4
illyria-wallpaper 1.4-1
imagemagick 7.1.0.44-1
imath 3.1.5-2
imlib2 1.9.1-1
inetutils 2.2-1
iniparser 4.1-4
intel-ucode 20220510-1
intltool 0.51.0-6
inxi 3.3.20.1-1
iproute2 5.18.0-1
iptables 1:1.8.8-1
iputils 20211215-1
iso-codes 4.11.0-1
iw 5.19-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk11-openjdk 11.0.16.u8-2
jdk8-openjdk 8.342.u07-1
jemalloc 1:5.3.0-1
jfsutils 1.1.15-8
jq 1.6-4
jre11-openjdk 11.0.16.u8-2
jre11-openjdk-headless 11.0.16.u8-2
jre8-openjdk 8.342.u07-1
jre8-openjdk-headless 8.342.u07-1
js78 78.15.0-4
js91 91.11.0-1
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
k3b 1:22.04.3-1
kaccounts-integration 22.04.3-1
kaccounts-providers 22.04.3-1
kactivities 5.96.0-1
kactivities-stats 5.96.0-1
kactivitymanagerd 5.25.3-1
kamera 22.04.3-1
karchive 5.96.0-1
kate 22.04.3-1
kauth 5.96.0-1
kbd 2.5.1-1
kbookmarks 5.96.0-1
kcalc 22.04.3-1
kcmutils 5.96.0-1
kcodecs 5.96.0-1
kcolorpicker 0.2.0-1
kcompletion 5.96.0-1
kconfig 5.96.0-1
kconfigwidgets 5.96.0-1
kcontacts 1:5.96.0-1
kcoreaddons 5.96.0-1
kcrash 5.96.0-1
kdbusaddons 5.96.0-1
kde-cli-tools 5.25.3-1
kde-gtk-config 5.25.3-1
kdeclarative 5.96.0-1
kdeconnect 22.04.3-1
kdecoration 5.25.3-1
kded 5.96.0-1
kdegraphics-mobipocket 22.04.3-1
kdegraphics-thumbnailers 22.04.3-1
kdelibs4support 5.96.0-1
kdenetwork-filesharing 22.04.3-1
kdenlive 22.04.3-1
kdeplasma-addons 5.25.3-1
kdesu 5.96.0-1
kdnssd 5.96.0-1
kdoctools 5.96.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
keditbookmarks 22.04.3-1
kemoticons 5.96.0-1
kernel-alive 0.5.1-1
keyutils 1.6.3-1
kfilemetadata 5.96.0-1
kfind 22.04.3-1
kgamma5 5.25.3-1
kget 22.04.3-1
kglobalaccel 5.96.0-1
kguiaddons 5.96.0-1
khelpcenter 22.04.3-1
kholidays 1:5.96.0-1
khotkeys 5.25.3-1
khtml 5.96.0-1
ki18n 5.96.0-1
kiconthemes 5.96.0-1
kidletime 5.96.0-1
kimageannotator 0.6.0-1
kimageformats 5.96.0-1
kinfocenter 5.25.3-1
kinit 5.96.0-1
kio 5.96.0-1
kio-extras 22.04.3-1
kio-fuse 5.0.1-1
kirigami2 5.96.0-1
